Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
28267d88-ea3a-5746-93b8-ede1be90cf65_1,0,1,0.0,23
28267d88-ea3a-5746-93b8-ede1be90cf65_2,1,0,5.204170427930419e-18,23
694cd904-6a66-56d9-b8d1-63c765cfec65_6,0,1,0.0,24
694cd904-6a66-56d9-b8d1-63c765cfec65_4,2,1,-3.469446951953613e-17,24
114dfec9-6548-5e69-a47f-a4a1e34ab863_1,0,0,-6.938893903907225e-18,25
28a97b43-fe79-5c1c-be30-e5aecb3a9ff2_7,0,1,-6.938893903907225e-18,26
28a97b43-fe79-5c1c-be30-e5aecb3a9ff2_8,5,0,-2.0816681711721676e-17,26
07e2ae41-d8f9-5d40-a472-d7186fc8e7b4_3,1,0,2.0816681711721676e-17,2
28412cde-fcc0-5a68-98e0-6d4819bc85e3_6,1,1,0.0,2
2f04a176-0429-5b7b-ba76-114efbad2dbc_4,1,1,6.938893903907225e-18,2
3015fcaa-53a6-5f6f-a727-1c7370e1dd1e_5,1,0,-1.0408340855860838e-17,27
55baffa6-8548-5b26-b0de-f664f0d80e68_1,0,1,0.0,28
55baffa6-8548-5b26-b0de-f664f0d80e68_2,1,0,-2.6020852139652095e-18,28
2b381c31-5a31-5e2d-a70e-6feea2c91883_2,1,0,-1.0408340855860838e-17,29
290e9291-e96c-58e8-ae1f-df8b1b28ad30_5,1,0,-1.387778780781445e-17,30
08102ca6-f1c3-5590-8a22-c1c1d78870dc_4,0,1,3.4694469519536126e-18,31
08102ca6-f1c3-5590-8a22-c1c1d78870dc_3,2,0,-2.2551405187698483e-17,31
361a5c84-78b8-5873-891e-b7f5ff16273e_1,0,0,0.0,32
0e1557be-4ebc-5cd1-a5cc-cae7efca6190_2,1,0,1.387778780781445e-17,33
13c7537b-6011-5541-a3fc-f72825d13d90_2,1,0,1.7347234759768063e-18,34
219fd624-e658-5779-98e3-915f79609232_3,1,0,-3.4694469519536126e-18,2
62f60b41-ad4b-5013-a1c9-9c7ec64ac807_11,1,0,0.10764857839887072,2
672aaf54-868f-5d8d-96bd-0840b24070dd_2,1,1,-1.387778780781445e-17,35
672aaf54-868f-5d8d-96bd-0840b24070dd_11,2,0,1.387778780781445e-17,35
4e40aec4-510e-59c4-8b02-8d539c98ca0e_1,0,6,-6.938893903907225e-18,36
4e40aec4-510e-59c4-8b02-8d539c98ca0e_3,1,0,1.7347234759768065e-17,36
4e40aec4-510e-59c4-8b02-8d539c98ca0e_7,1,0,2.0816681711721676e-17,36
4e40aec4-510e-59c4-8b02-8d539c98ca0e_6,1,0,1.7347234759768065e-17,36
4e40aec4-510e-59c4-8b02-8d539c98ca0e_2,1,0,2.0816681711721676e-17,36
4e40aec4-510e-59c4-8b02-8d539c98ca0e_4,1,0,1.908195823574487e-17,36
4e40aec4-510e-59c4-8b02-8d539c98ca0e_5,1,0,2.0816681711721676e-17,36
08102ca6-f1c3-5590-8a22-c1c1d78870dc_1,0,1,0.0,31
08102ca6-f1c3-5590-8a22-c1c1d78870dc_2,1,1,0.0,31
31455daa-7058-5a72-9531-bfe5b5aee0f1_3,3,0,2.428612866367529e-17,2
6af2f1c9-fac9-5719-bf80-719b80fdf58d_11,0,1,6.938893903907225e-18,37
6af2f1c9-fac9-5719-bf80-719b80fdf58d_1,1,0,-2.428612866367529e-17,37
690817a1-35ef-547f-a874-ef637ae71009_2,0,0,-8.673617379884032e-19,38
3e61bfc3-401f-53d8-a29d-03e05648e03f_13,0,1,-6.938893903907225e-18,39
3e61bfc3-401f-53d8-a29d-03e05648e03f_14,1,0,-1.387778780781445e-17,39
0dd10532-1ff5-54bc-8fbe-2eb774ba2e52_5,0,2,-3.4694469519536126e-18,2
51a2fec3-6e5f-503e-ad29-d30361f516df_1,1,4,-1.387778780781445e-17,2
0dd10532-1ff5-54bc-8fbe-2eb774ba2e52_1,1,1,-6.938893903907225e-18,2
33d42032-4167-5562-b6f1-559a906748f2_5,1,0,-3.1225022567582515e-17,40
07e2ae41-d8f9-5d40-a472-d7186fc8e7b4_1,1,5,0.0,2
07e2ae41-d8f9-5d40-a472-d7186fc8e7b4_2,1,0,1.929879867024197e-17,2
07e2ae41-d8f9-5d40-a472-d7186fc8e7b4_4,1,0,1.8214596497756465e-17,2
07e2ae41-d8f9-5d40-a472-d7186fc8e7b4_5,1,3,2.0816681711721676e-17,2
07e2ae41-d8f9-5d40-a472-d7186fc8e7b4_6,2,2,0.0,2
07e2ae41-d8f9-5d40-a472-d7186fc8e7b4_23,1,0,0.0,2
4c797ad8-3bae-566d-b661-baacd56dd75a_2,1,2,-3.4694469519536126e-18,2
4c797ad8-3bae-566d-b661-baacd56dd75a_3,1,0,-3.4694469519536126e-18,2
4c797ad8-3bae-566d-b661-baacd56dd75a_4,1,1,3.4694469519536126e-18,2
1bff1f27-ed3e-5d9b-9250-cb5e9be8af33_1,0,0,0.0,41
1bacd38b-128a-51b7-b1e1-26e8346c8916_5,0,2,-8.673617379884032e-19,26
5af2b76c-4eb2-54d2-905c-5b76af75ba08_1,2,1,0.0,26
16e31b5a-4214-5a2e-b159-890b973097fc_3,1,0,0.0,42
64e0d62e-8a9d-5a9b-855a-df8941539688_8,0,0,0.0,43
3c38e8a4-7324-5c43-b7a7-9438b3fa6d87_1,1,1,1.7130394325270964e-17,44
3c38e8a4-7324-5c43-b7a7-9438b3fa6d87_3,1,0,2.77555756156289e-17,44
4926d6ca-9663-5121-a335-0f5e94a5d782_12,1,0,1.387778780781445e-17,45
114ccf3b-7c66-54b7-b4f7-4fe333e1dda8_1,0,0,-8.673617379884032e-19,46
2b381c31-5a31-5e2d-a70e-6feea2c91883_1,0,3,-3.4694469519536126e-18,29
2b381c31-5a31-5e2d-a70e-6feea2c91883_4,1,0,-6.938893903907225e-18,29
2b381c31-5a31-5e2d-a70e-6feea2c91883_3,1,0,6.938893903907225e-18,29
2d1acfd1-b2ca-521f-b830-f4fa85aa2472_2,0,0,-3.4694469519536126e-18,47
1acef9cc-ddfd-5116-ab0a-8a008af8186a_10,3,0,0.10764857839887067,2
23a00055-e860-5450-bd2d-731039098265_4,0,1,0.0,48
23a00055-e860-5450-bd2d-731039098265_2,1,4,8.673617379884032e-18,48
148e925b-1a26-52a5-8941-bb97c4ba2b80_4,0,0,6.938893903907225e-18,49
33d42032-4167-5562-b6f1-559a906748f2_7,1,0,0.0,50
2f1e1fe3-f35c-5c2b-a283-10e842cefd0b_4,0,0,3.4694469519536126e-18,51
198a4321-6c2a-565f-afa3-b51dacf77c38_4,1,9,0.0,2
2ddbe64b-0364-5f22-91dc-d394cdf796a0_3,1,2,6.938893903907225e-18,2
222db6e8-a26d-5b32-b5b4-b88e22d1e416_4,1,0,6.938893903907225e-18,2
222db6e8-a26d-5b32-b5b4-b88e22d1e416_5,1,0,6.938893903907225e-18,2
222db6e8-a26d-5b32-b5b4-b88e22d1e416_8,2,0,-2.0816681711721676e-17,2
