Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
aea155a0-9aa3-586d-b42a-7b9a86f42a78_2,0,0,6.938893903907228e-18,31
683fcdec-a977-5367-8583-1828acabc83a_7,0,0,1.734723475976807e-18,32
dae4b91a-789d-51ac-ba7f-63e9ab4e78e8_2,1,0,-1.3877787807814457e-17,33
683fcdec-a977-5367-8583-1828acabc83a_16,0,2,1.734723475976807e-18,34
683fcdec-a977-5367-8583-1828acabc83a_18,1,0,-1.3877787807814457e-17,34
683fcdec-a977-5367-8583-1828acabc83a_19,1,0,3.469446951953614e-18,34
c5239a57-f27e-502a-a4fd-fb37c883317b_2,0,1,6.938893903907228e-18,25
bdea7d33-46f5-51fc-95ad-0be9911092f3_5,0,2,4.336808689942018e-19,35
bdea7d33-46f5-51fc-95ad-0be9911092f3_1,1,1,-2.0816681711721685e-17,35
bdea7d33-46f5-51fc-95ad-0be9911092f3_6,1,0,4.163336342344337e-17,35
2acaf432-a7ee-5ac5-9ed9-27907cacaea1_3,1,1,-3.469446951953614e-18,36
2acaf432-a7ee-5ac5-9ed9-27907cacaea1_4,1,0,6.938893903907228e-17,36
aea155a0-9aa3-586d-b42a-7b9a86f42a78_7,1,0,1.5959455978986625e-16,10
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_14,1,0,1.3877787807814457e-17,8
2acaf432-a7ee-5ac5-9ed9-27907cacaea1_5,1,1,2.7755575615628914e-17,36
2acaf432-a7ee-5ac5-9ed9-27907cacaea1_6,1,0,8.326672684688674e-17,36
5093e40c-1770-54dc-b4a3-c298b7d1ea72_1,0,3,0.0,37
5093e40c-1770-54dc-b4a3-c298b7d1ea72_2,1,0,0.0,37
5093e40c-1770-54dc-b4a3-c298b7d1ea72_3,1,0,1.3877787807814457e-17,37
5093e40c-1770-54dc-b4a3-c298b7d1ea72_4,1,0,-6.938893903907228e-18,37
16aeba2a-8489-5d3e-bfde-b65a8c898ccd_2,1,1,-4.5102810375396984e-17,12
1aa793cd-f09d-5a4e-8946-5b7b60e71f42_3,1,1,9.71445146547012e-17,12
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_7,1,0,-2.7755575615628914e-17,8
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_10,1,0,0.0,12
148e925b-1a26-52a5-8941-bb97c4ba2b80_1,0,1,0.0,21
148e925b-1a26-52a5-8941-bb97c4ba2b80_2,2,1,9.194034422677078e-17,21
ce74d48e-be27-5096-8c57-f89a6a724ccf_7,0,2,0.0,20
ce74d48e-be27-5096-8c57-f89a6a724ccf_1,2,1,1.3877787807814457e-17,20
ce74d48e-be27-5096-8c57-f89a6a724ccf_2,2,1,6.938893903907228e-18,20
1aa793cd-f09d-5a4e-8946-5b7b60e71f42_2,2,1,1.3877787807814457e-17,12
e21054cd-c52e-5535-b1b1-0bc66c6d050c_2,1,1,6.938893903907228e-18,38
e21054cd-c52e-5535-b1b1-0bc66c6d050c_3,1,0,2.3592239273284576e-16,38
4059dacd-25d1-50ad-b4a6-b43e8dca224d_1,1,2,1.3877787807814457e-17,39
4059dacd-25d1-50ad-b4a6-b43e8dca224d_3,3,1,0.0,39
4059dacd-25d1-50ad-b4a6-b43e8dca224d_2,3,0,-2.0816681711721685e-16,39
5285287c-3372-5e34-a3f5-65739fa845d9_9,2,0,2.7755575615628914e-17,18
4636768e-14e6-5844-98e0-211e7a450519_1,0,1,3.469446951953614e-18,22
16aeba2a-8489-5d3e-bfde-b65a8c898ccd_1,0,1,-6.938893903907228e-18,12
16aeba2a-8489-5d3e-bfde-b65a8c898ccd_3,1,1,1.3877787807814457e-17,12
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_3,1,0,-1.3877787807814457e-17,40
1aa793cd-f09d-5a4e-8946-5b7b60e71f42_1,0,3,4.336808689942018e-19,12
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_8,1,0,-1.3877787807814457e-17,12
3ed53e18-1d60-5384-8cc6-eb29ad04a92d_4,0,0,1.3877787807814457e-17,41
3ed53e18-1d60-5384-8cc6-eb29ad04a92d_6,0,0,2.7755575615628914e-17,42
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_9,0,0,-4.163336342344337e-17,43
4059dacd-25d1-50ad-b4a6-b43e8dca224d_6,0,1,1.734723475976807e-18,39
13c726c9-bfb5-5c93-9cab-2af3c5691409_1,0,0,2.7755575615628914e-17,44
a6ef3fa5-f1f3-59e0-b0b0-8940bc75aab5_1,0,0,0.0,45
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_9,1,0,-4.163336342344337e-17,9
4059dacd-25d1-50ad-b4a6-b43e8dca224d_5,0,1,-6.938893903907228e-18,39
